"帳票種別 Product type","サイクル区分 Cycle","年月週 Year, Month, Week","報告年月日（自）Period covered - from","報告年月日（至）Period covered - to","投資部門コード Type of Investor","数量金額区分 Volume/Value","売 Sales","売-差引 Balance","買 Purchases","買-差引 Balance","合計 Total"
"317","1","2026043","20260413","20260417","24","1",0,0,0,0,0
"317","1","2026043","20260413","20260417","24","2",0,0,0,0,0
"317","1","2026043","20260413","20260417","31","1",0,0,0,0,0
"317","1","2026043","20260413","20260417","31","2",0,0,0,0,0
"317","1","2026043","20260413","20260417","32","1",0,0,0,0,0
"317","1","2026043","20260413","20260417","32","2",0,0,0,0,0
"317","1","2026043","20260413","20260417","33","1",0,0,0,0,0
"317","1","2026043","20260413","20260417","33","2",0,0,0,0,0
"317","1","2026043","20260413","20260417","41","1",0,0,0,0,0
"317","1","2026043","20260413","20260417","41","2",0,0,0,0,0
